title,artist,genre,tempo,mood_tags
"Maya Ko Jadoo Ma","Samir Shrestha","Pop",110,"Romantic,Happy"
"Timro Saath Ko Geet Ma","Shanti Shree Pariyar","Pop",105,"Romantic,Dreamy"
"Dil Ko Sapana Ma","Asmita Adhikari","Pop",110,"Romantic,Calm"
"Timilai Samjhanda Ma","Eleena Chauhan","Pop",115,"Happy,Romantic"
"Mero Prem Ko Dhoon","Mahesh Kafle","Pop",120,"Happy,Romantic"
"Man Ko Lahar Ma","Brijesh Shrestha","Indie",90,"Sad,Melancholic"
"Saanjha Ko Suseli Ma","Kali Prasad Baskota","Pop",105,"Calm,Dreamy"
"Timro Maya Ko Geet Ma","Ashish Aviral","Pop",110,"Happy,Romantic"
"Mero Jivan Ko Maya Ko","Purna Rai","Pop",115,"Romantic,Uplifting"
"Desh Ko Dhoon Ko","Yodda","Rap",95,"Energetic,Patriotic"
"Timro Yaad Ko Lahar","Chirag Khadka","Indie",85,"Sad,Melancholic"
"Maya Ko Geet Ma","Nawaj Ansari","Pop",110,"Romantic,Happy"
"Phool Ko Suseli","Sugam Pokhrel","Pop",105,"Calm,Romantic"
"Jivan Ko Lahar Ko","Nabin K Bhattarai","Pop",100,"Sad,Introspective"
"Timro Saath Ko Suseli","Karma Band","Rock",130,"Energetic,Romantic"
"Saanjha Ko Geet Ma","The Uglyz","Pop",105,"Calm,Romantic"
"Mero Desh Ko Lahar","Prem Dhoj Pradhan","Folk",110,"Nostalgic,Patriotic"
"Timro Hridaya Ko Dhoon","Himali Gurung","Pop",115,"Happy,Romantic"
"Aankha Ko Suseli","Ravi Thapa","Pop",100,"Romantic,Calm"
"Pahilo Maya Ko Dhoon","Sita Magar","Pop",110,"Romantic,Happy"
"Chiso Raat Ko Geet","Aarush Shrestha","Indie",90,"Sad,Calm"
"Man Ko Maya Ko","Nisha Tamang","Pop",105,"Romantic,Sad"
"Geet Ko Dhoon Ma","Bijay Lama","Pop",115,"Happy,Uplifting"
"Timro Muskan Ko Suseli","Suman Rai","Pop",120,"Happy,Romantic"
"Jivan Ko Geet Ko","Anita Chhetri","Pop",110,"Happy,Inspirational"
"Maya Ko Dhoon Ma","Prabin Gurung","Indie",85,"Sad,Romantic"
"Timro Saath Ko Lahar Ma","Lila Bhattarai","Pop",105,"Romantic,Calm"
"Timilai Samjhanda Ko Geet","Narayan Gopal","Folk",110,"Nostalgic,Romantic"
"Man Ko Suseli Ko","Phatteman Rajbhandari","Classical",90,"Sad,Melancholic"
"Aankha Ko Dhoon Ko","Aruna Lama","Classical",85,"Sad,Romantic"
"Mero Jivan Ko Lahar","Bhakta Raj Acharya","Classical",80,"Sad,Introspective"
"Dil Ko Geet Ma","Gopal Yonjan","Classical",95,"Calm,Traditional"
"Timro Maya Ko Suseli","Arun Thapa","Pop",100,"Romantic,Sad"
"Man Ko Dhoon Ma","Tanka Budhathoki","Pop",110,"Romantic,Happy"
"Timro Lagi Maya Ko","Melina Rai","Pop",115,"Romantic,Uplifting"
"Pahad Ko Lahar","Bishnu Majhi","Folk",105,"Nostalgic,Happy"
"Chhati Ko Dhoon Ma","Pramod Kharel","Pop",100,"Sad,Melancholic"
"Timro Muskurahat Ko Dhoon","Swoopna Suman","Pop",120,"Happy,Romantic"
"Maya Ko Lahar Ko","Sushant KC","Pop",115,"Happy,Uplifting"
"Timro Saath Bina Ko","Sajjan Raj Vaidya","Indie",90,"Sad,Romantic"
"Man Ko Suseli Ma","Nepathya","Rock",135,"Energetic,Inspirational"
"Dil Ko Dhoon Ko","Oasis Thapa","Indie",95,"Romantic,Calm"
"Timro Hridaya Ko Suseli","Samir Shrestha","Pop",110,"Happy,Romantic"
"Phoolko Joon","Hari Thapa","Gurung Folk",110,"Calm,Romantic"
"Eklo Andhakar","Radha Sherpa","Lok Dohori",97,"Romantic,Calm"
"Bishal Sparsha","Krishna Sherpa","Folk",113,"Sad,Melancholic"
"Joonko Aankha","Suman Gurung","Tamang Selo",130,"Sad,Melancholic"
"Mantra Sparsha","Laxmi Gurung","Newari",95,"Melancholic,Sad"
"Sagar Ujyaalo","Laxmi Gurung","Modern",95,"Happy,Calm"
"Joonko Chhaya","Rajan Raj Shiwakoti","Modern",132,"Energetic,Happy"
"Haatma Swar","Ramesh Yadav","Folk",115,"Sad,Melancholic"
"Tadha Pani","Kutumba","Gurung Folk",91,"Calm,Romantic"
"Samjhana Sugandha","Laxmi Yadav","Bhajan",111,"Happy,Devotional"
"Sundar Andhakar","Ramesh Limbu","Gurung Folk",91,"Melancholic,Sad"
"Bato Biraha","Gopal Rai","Gurung Folk",91,"Romantic,Calm"
"Ujyaalo Tara","Krishna Chhetri","Pop",105,"Sad,Melancholic"
"Himal Raat","Laxmi Gurung","Pop",62,"Sad,Melancholic"
"Phoolko Biraha","Deepak Limbu","Pop",66,"Melancholic,Sad"
"Himal Pani","Badri Pangeni","Folk",89,"Energetic,Romantic"
"Bishal Sugandha","Gopal Shrestha","Rock",80,"Romantic,Calm"
"Koshi Haath","Albatross","Modern",106,"Energetic,Happy"
"Koshi Aankha","Bimal Magar","Modern",82,"Romantic,Calm"
"Chiso Joon","Sabin Rai","Folk",72,"Happy,Calm"
"Ujyaalo Sugandha","Cobweb","Folk",129,"Sad,Melancholic"
"Phoolko Aankha","Albatross","Pop",95,"Patriotic,Happy"
"Sajhako Pani","Aruna Lama","Folk",101,"Energetic,Romantic"
"Ganga Tara","Aruna Lama","Folk",72,"Patriotic,Calm"
"Jindagi Swar","Laxmi Rai","Folk",89,"Devotional,Calm"
"Eklo Milan","Shanti Gurung","Pop",102,"Sad,Melancholic"
"Chiso Lahara","Deepak Limbu","Lok Dohori",77,"Happy,Calm"
"Pari Rimjhim","Narayan Gopal","Pop",108,"Calm,Romantic"
"Maya Pani","Kutumba","Lok Dohori",88,"Sad,Melancholic"
"Haatma Dhoon","Devi Gharti","Modern",94,"Happy,Calm"
"Tadha Dil","Sita Magar","Rock",88,"Sad,Melancholic"
"Jindagi Haath","Krishna Gurung","Folk",137,"Sad,Melancholic"
"Samjhana Milan","Ramesh Chhetri","Rock",100,"Melancholic,Sad"
"Phoolko Raat","Laxmi Gurung","Gurung Folk",79,"Patriotic,Calm"
"Phoolko Chhaya","Laxmi Gurung","Folk",116,"Melancholic,Sad"
"Phoolko Tara","Krishna Yadav","Folk",76,"Energetic,Romantic"
"Bishal Biraha","Hari Sherpa","Gurung Folk",104,"Romantic,Energetic"
"Sundar Raat","Laxmi Gurung","Folk",61,"Romantic,Calm"
"Samjhana Maya","Sabin Rai","Lok Dohori",73,"Happy,Calm"
"Pahadko Katha","Krishna Gurung","Folk",104,"Romantic,Energetic"
"Jindagi Rimjhim","Khem Raj Gurung","Newari",115,"Romantic,Energetic"
"Tadha Sansaar","Ramesh Thapa","Pop",103,"Sad,Melancholic"
"Samjhana Sansaar","Narayan Gopal","Lok Dohori",98,"Calm,Romantic"
"Jhilmil Chhaya","Karma Band","Pop",94,"Melancholic,Sad"
"Dherai Chhaya","Krishna Yadav","Modern",70,"Happy,Calm"
"Samjhana Mann","Sita Rai","Newari",86,"Romantic,Calm"
"Timro Tara","Melina Rai","Lok Dohori",91,"Romantic,Calm"
"Chhaya Sparsha","Hari Gurung","Gurung Folk",121,"Romantic,Energetic"
"Dilko Andhakar","1974 AD","Newari",107,"Happy,Devotional"
"Himal Saath","Shanti Chhetri","Tamang Selo",65,"Romantic,Calm"
"Rimjhim Din","Sabin Rai","Folk",106,"Happy,Energetic"
"Pari Pal","Ramesh Sherpa","Folk",92,"Romantic,Calm"
"Aankhama Pal","Laxmi Tamang","Pop",86,"Sad,Melancholic"
"Phoolko Dhoon","Suman Chhetri","Modern",112,"Energetic,Happy"
"Bishal Sapana","Karma Band","Newari",121,"Sad,Melancholic"
"Jindagi Mann","Hari Thapa","Rock",119,"Romantic,Energetic"
"Raatko Dil","Shanti Gurung","Pop",83,"Melancholic,Sad"
"Bato Maya","Gopal Chhetri","Rock",94,"Calm,Romantic"
"Bishal Milan","Sita Yadav","Lok Dohori",107,"Happy,Calm"
"Jhilmil Pani","Shanti Rai","Modern",120,"Romantic,Energetic"
"Haatma Yaad","Laxmi Gurung","Folk",90,"Energetic,Romantic"
"Ganga Biraha","Laxmi Gurung","Pop",96,"Energetic,Romantic"
"Simal Milan","Hari Sherpa","Rock",78,"Energetic,Happy"
"Sajhako Geet","Melina Rai","Rock",76,"Calm,Romantic"
"Raatko Aankha","Laxmi Thapa","Lok Dohori",116,"Calm,Romantic"
"Joonko Milan","Laxmi Rai","Rock",127,"Romantic,Energetic"
"Himal Pani","Bimal Magar","Folk",99,"Romantic,Calm"
"Dherai Raat","Devi Gharti","Gurung Folk",120,"Romantic,Energetic"
"Phoolko Aankha","Shanti Yadav","Modern",107,"Romantic,Energetic"
"Simal Jindagi","Devi Gharti","Pop",87,"Romantic,Calm"
"Naya Sparsha","Raju Lama","Pop",107,"Devotional,Calm"
"Sundar Aankha","Radha Tamang","Folk",131,"Romantic,Energetic"
"Andhakar Sugandha","Shanti Chhetri","Rock",99,"Calm,Romantic"
"Raatko Dhoon","Hari Sherpa","Tamang Selo",131,"Melancholic,Sad"
"Jhilmil Ujyaalo","Krishna Chhetri","Newari",60,"Romantic,Calm"
"Pari Aankha","Devi Gharti","Tamang Selo",116,"Sad,Melancholic"
"Sundar Jindagi","Badri Pangeni","Folk",102,"Happy,Calm"
"Pahadko Pal","Shanti Rai","Folk",94,"Calm,Romantic"
"Samjhana Sugandha","Gopal Sherpa","Lok Dohori",102,"Romantic,Calm"
"Phoolko Dil","Shanti Rai","Rock",60,"Energetic,Happy"
"Sapana Ujyaalo","Gopal Sherpa","Newari",96,"Calm,Romantic"
"Mero Andhakar","Laxmi Thapa","Rock",107,"Melancholic,Sad"
"Sagar Sparsha","Ramesh Sherpa","Rock",130,"Romantic,Energetic"
"Aankhama Jindagi","Santosh Lama","Rock",90,"Happy,Calm"
"Himal Milan","Gopal Rai","Lok Dohori",84,"Romantic,Calm"
"Samjhana Katha","Bartika Eam Rai","Newari",90,"Calm,Romantic"
"Mero Pani","Ramesh Limbu","Pop",118,"Energetic,Happy"
"Chiso Maya","Suman Gurung","Pop",107,"Sad,Melancholic"
"Simal Maya","Khem Raj Gurung","Tamang Selo",89,"Energetic,Romantic"
"Bishal Mann","Raju Lama","Modern",110,"Romantic,Energetic"
"Timro Sparsha","Devi Gharti","Pop",102,"Happy,Calm"
"Dherai Pal","Laxmi Yadav","Lok Dohori",119,"Calm,Romantic"
"Sapana Aankha","Khem Raj Gurung","Lok Dohori",86,"Happy,Calm"
"Haatma Sparsha","Ramesh Yadav","Pop",93,"Happy,Calm"
"Sagar Lahara","Laxmi Thapa","Folk",92,"Romantic,Calm"
"Phoolko Lahara","Shanti Yadav","Folk",71,"Romantic,Calm"
"Sagar Andhakar","Hari Thapa","Lok Dohori",106,"Romantic,Calm"
"Timro Bato","Ramesh Limbu","Modern",105,"Happy,Calm"
"Himal Raat","Shanti Gurung","Pop",100,"Devotional,Calm"
"Andhakar Biraha","Hari Yadav","Pop",95,"Calm,Romantic"
"Rimjhim Katha","Hari Yadav","Rock",72,"Romantic,Calm"
"Rimjhim Sapana","Tribal Rain","Folk",92,"Energetic,Romantic"
"Andhakar Lahara","Shanti Chhetri","Folk",93,"Happy,Calm"
"Raatko Din","Hemanta Rana","Folk",84,"Sad,Melancholic"
"Rimjhim Tara","Hari Rai","Newari",97,"Calm,Romantic"
"Sundar Dhoon","The Shadows Nepal","Folk",108,"Energetic,Happy"
"Eklo Sparsha","Radha Sherpa","Rock",138,"Romantic,Energetic"
"Ujyaalo Saath","Tribal Rain","Folk",103,"Energetic,Happy"
"Dilko Geet","Sita Magar","Folk",105,"Calm,Romantic"
"Chhaya Dil","Shanti Rai","Folk",99,"Energetic,Romantic"
"Sagar Maya","Swoopna Suman","Lok Dohori",62,"Sad,Melancholic"
"Bishal Dhoon","Cobweb","Pop",99,"Romantic,Calm"
"Rimjhim Yaad","Krishna Limbu","Modern",101,"Patriotic,Happy"
"Bato Geet","Sita Rai","Pop",149,"Happy,Energetic"
"Bishal Sugandha","Anju Panta","Gurung Folk",96,"Calm,Romantic"
"Samjhana Sansaar","Sabin Rai","Tamang Selo",106,"Calm,Romantic"
"Pari Jindagi","Bimal Yadav","Pop",99,"Happy,Calm"
"Pari Muskan","Gopal Rai","Rock",77,"Calm,Romantic"
"Chiso Sugandha","Bimal Rai","Bhajan",123,"Happy,Devotional"
"Dilko Muskan","Ramesh Sherpa","Modern",115,"Romantic,Energetic"
"Aankhama Sparsha","Laxmi Thapa","Rock",116,"Energetic,Happy"
"Jhilmil Geet","Laxmi Gurung","Pop",82,"Devotional,Calm"
"Naya Dhoon","Shanti Yadav","Pop",128,"Romantic,Energetic"
"Joonko Pal","Laxmi Gurung","Pop",72,"Happy,Calm"
"Ujyaalo Biraha","Laxmi Yadav","Folk",112,"Sad,Melancholic"
"Pahadko Biraha","Phosphenes","Lok Dohori",144,"Melancholic,Sad"
"Bato Dil","Hari Rai","Pop",80,"Happy,Calm"
"Rimjhim Ujyaalo","Phosphenes","Pop",89,"Romantic,Calm"
"Pahadko Aankha","Ramesh Chhetri","Lok Dohori",102,"Romantic,Calm"
"Rimjhim","Laxmi Thapa","Pop",90,"Happy,Calm"
"Jhilmil Yaad","Shanti Thapa","Folk",69,"Happy,Calm"
"Mero Sparsha","Santosh Lama","Modern",101,"Romantic,Calm"
"Maya Jindagi","Krishna Tamang","Rock",79,"Sad,Melancholic"
"Jhilmil Sansaar","Tribal Rain","Rock",109,"Energetic,Happy"
"Raatko Milan","Narayan Gopal","Folk",82,"Romantic,Calm"
"Pahadko Milan","Laxmi Gurung","Pop",131,"Happy,Energetic"
"Jindagi Sapana","Gopal Rai","Tamang Selo",84,"Romantic,Calm"
"Sajhako Milan","Ramesh Chhetri","Folk",94,"Happy,Calm"
"Lahara Katha","Shanti Yadav","Rock",116,"Happy,Energetic"
"Rimjhim Chhaya","Laxmi Rai","Rock",75,"Romantic,Calm"
"Haatma Raat","Shanti Thapa","Lok Dohori",105,"Romantic,Calm"
"Sagar Chhaya","Laxmi Gurung","Folk",126,"Sad,Melancholic"
"Haatma Aankha","Krishna Sherpa","Tamang Selo",68,"Energetic,Happy"
"Pahadko Rimjhim","Santosh Lama","Folk",104,"Energetic,Romantic"
"Pari Pal","Laxmi Gurung","Pop",105,"Happy,Calm"
"Mantra Yaad","Kutumba","Folk",116,"Romantic,Energetic"
"Koshi Sapana","Santosh Lama","Tamang Selo",75,"Sad,Melancholic"
"Sagar Ujyaalo","Sita Magar","Gurung Folk",74,"Energetic,Romantic"
"Dherai Aankha","Hari Yadav","Folk",110,"Calm,Romantic"
"Bishal Joon","Suman Gurung","Tamang Selo",106,"Patriotic,Happy"
"Dilko Lahara","Pashupati Sharma","Tamang Selo",105,"Energetic,Happy"
"Raatko Yaad","Gopal Chhetri","Newari",107,"Energetic,Romantic"
"Dherai Jindagi","Bipul Chettri","Rock",86,"Calm,Romantic"
"Naya Andhakar","Albatross","Rock",105,"Energetic,Happy"
"Dherai Dil","Tara Devi","Pop",106,"Romantic,Calm"
"Jindagi Sapana","Radha Sherpa","Folk",86,"Happy,Calm"
"Himal Andhakar","Gopal Limbu","Folk",137,"Sad,Melancholic"
"Basanta Andhakar","Sugam Pokharel","Modern",109,"Sad,Melancholic"
"Jhilmil Muskan","Gopal Chhetri","Tamang Selo",76,"Energetic,Happy"
"Sagar Tara","Anju Panta","Folk",113,"Happy,Calm"
"Chhaya Bato","Ram Krishna Dhakal","Folk",81,"Energetic,Romantic"
"Maya Din","The Shadows Nepal","Modern",116,"Energetic,Happy"
"Dilko Jindagi","Ram Krishna Dhakal","Pop",123,"Romantic,Energetic"
"Andhakar Maya","Neetesh Jung Kunwar","Newari",84,"Energetic,Devotional"
"Pahadko Milan","Narayan Gopal","Pop",119,"Melancholic,Sad"
"Sagar Sansaar","Radha Sherpa","Folk",108,"Romantic,Calm"
"Bato Joon","Sabin Rai","Pop",116,"Calm,Romantic"
"Pahadko Biraha","Prakash Saput","Gurung Folk",138,"Romantic,Energetic"
"Rimjhim Raat","Radha Sherpa","Lok Dohori",95,"Devotional,Calm"
"Basanta Ujyaalo","Pashupati Sharma","Modern",85,"Energetic,Happy"
"Bato Katha","Bimal Magar","Lok Dohori",82,"Romantic,Calm"
"Timro Geet","Sugam Pokharel","Modern",84,"Romantic,Calm"
"Tadha Swar","Suman Gurung","Lok Dohori",98,"Happy,Calm"
"Samjhana Saath","Sita Rai","Rock",107,"Melancholic,Sad"
"Joonko Maya","Shanti Tamang","Lok Dohori",106,"Sad,Melancholic"
"Dherai Sparsha","Bimal Magar","Lok Dohori",117,"Devotional,Calm"
"Eklo Bato","Hari Magar","Pop",100,"Calm,Romantic"
"Andhakar Bato","Bimal Magar","Folk",129,"Energetic,Happy"
"Lahara Muskan","Pashupati Sharma","Rock",95,"Romantic,Calm"
"Eklo Sapana","Raju Lama","Modern",154,"Romantic,Energetic"
"Andhakar Swar","Ramesh Chhetri","Modern",113,"Happy,Energetic"
"Timro Dhoon","Ramesh Chhetri","Gurung Folk",83,"Happy,Calm"
"Dilko Tara","Kandara","Folk",79,"Energetic,Romantic"
"Bishal Dil","Gopal Tamang","Pop",110,"Energetic,Happy"
"Naya Ujyaalo","Hari Sherpa","Folk",96,"Devotional,Calm"
"Timro Biraha","Hemanta Rana","Rock",114,"Devotional,Calm"
"Lahara Muskan","Krishna Yadav","Rock",109,"Devotional,Calm"
"Chhaya Mann","Ramesh Thapa","Pop",99,"Happy,Calm"
"Andhakar Pani","Hemanta Rana","Modern",83,"Calm,Romantic"
"Mero Mann","Devi Gharti","Gurung Folk",70,"Romantic,Calm"
"Sapana Pani","Melina Rai","Modern",91,"Romantic,Calm"
"Aankhama Sapana","Hari Thapa","Pop",117,"Melancholic,Sad"
"Dherai Sugandha","Khem Raj Gurung","Lok Dohori",104,"Happy,Calm"
"Mero Sugandha","Shanti Chhetri","Lok Dohori",75,"Sad,Melancholic"
"Raatko Raat","Bishnu Majhi","Pop",103,"Romantic,Calm"
"Sundar Muskan","Laxmi Yadav","Rock",108,"Energetic,Happy"
"Naya Aankha","Raju Lama","Bhajan",82,"Happy,Devotional"
"Sundar Geet","Krishna Sherpa","Gurung Folk",103,"Happy,Calm"
"Pari Andhakar","Ramesh Limbu","Lok Dohori",101,"Energetic,Romantic"
"Ujyaalo Pani","Suman Gurung","Modern",77,"Happy,Calm"
"Rimjhim Katha","Sita Magar","Rock",107,"Sad,Melancholic"
"Sundar Geet","Laxmi Gurung","Modern",111,"Happy,Calm"
"Haatma Andhakar","Krishna Tamang","Newari",122,"Calm,Romantic"
"Sapana Dil","Pashupati Sharma","Folk",121,"Romantic,Energetic"
"Ganga Dil","Sita Thapa","Folk",72,"Romantic,Calm"
"Lahara Dhoon","Radha Sherpa","Newari",81,"Happy,Calm"
"Tadha Pani","Albatross","Lok Dohori",110,"Energetic,Happy"
"Samjhana Chhaya","Bimal Rai","Gurung Folk",110,"Calm,Romantic"
"Haatma Dil","Shanti Chhetri","Bhajan",110,"Energetic,Devotional"
"Chiso Dhoon","Hari Thapa","Folk",160,"Happy,Energetic"
"Mantra Haath","Laxmi Tamang","Rock",111,"Romantic,Energetic"
"Chhaya Andhakar","Krishna Yadav","Pop",123,"Sad,Melancholic"
"Aankhama Saath","Radha Tamang","Gurung Folk",119,"Romantic,Energetic"
"Eklo Raat","Laxmi Tamang","Tamang Selo",113,"Sad,Melancholic"
"Maya","Bimal Yadav","Folk",94,"Happy,Calm"
"Dherai Lahara","Gopal Rai","Pop",115,"Romantic,Energetic"
"Mero Pani","Hemanta Rana","Folk",85,"Energetic,Romantic"
"Joonko Bato","Suman Gurung","Folk",95,"Melancholic,Sad"
"Tadha Tara","Tara Devi","Pop",90,"Romantic,Calm"
"Tadha Maya","Laxmi Tamang","Folk",102,"Romantic,Calm"
"Koshi Maya","Shanti Gurung","Pop",146,"Energetic,Happy"
"Pahadko Milan","Bimal Rai","Rock",63,"Romantic,Calm"
"Timro Pal","Hari Thapa","Pop",114,"Sad,Melancholic"
"Sapana Sparsha","Khem Raj Gurung","Folk",68,"Happy,Calm"
"Basanta Yaad","1974 AD","Pop",91,"Calm,Romantic"
"Aankhama Rimjhim","Shanti Chhetri","Lok Dohori",122,"Happy,Energetic"
"Timro Dil","Ramesh Sherpa","Newari",101,"Melancholic,Sad"
"Jhilmil Lahara","Gopal Chhetri","Modern",78,"Sad,Melancholic"
"Ganga Raat","Aruna Lama","Lok Dohori",86,"Romantic,Calm"
"Lahara Pani","Sabin Rai","Folk",114,"Calm,Romantic"
"Sundar Pani","Ramesh Yadav","Lok Dohori",85,"Sad,Melancholic"
"Joonko Pani","Hari Rai","Pop",104,"Calm,Romantic"
"Chhaya Bato","Ram Krishna Dhakal","Pop",101,"Happy,Calm"
"Bato Din","Tara Devi","Lok Dohori",87,"Romantic,Calm"
"Maya Dhoon","Suman Rai","Rock",143,"Calm,Romantic"
"Ujyaalo Milan","Krishna Sherpa","Modern",113,"Romantic,Energetic"
"Raatko Sugandha","Kutumba","Rock",60,"Romantic,Calm"
"Rimjhim Lahara","Shanti Chhetri","Rock",104,"Sad,Melancholic"
"Ujyaalo Mann","Krishna Yadav","Tamang Selo",87,"Happy,Calm"
"Tadha Katha","Laxmi Gurung","Folk",117,"Calm,Romantic"
"Timro Aankha","Krishna Tamang","Pop",84,"Romantic,Calm"
"Mantra Sugandha","Krishna Chhetri","Pop",98,"Melancholic,Sad"
"Himal Biraha","Laxmi Gurung","Modern",110,"Happy,Energetic"
"Ujyaalo Aankha","Sita Magar","Modern",117,"Energetic,Happy"
"Pahadko Joon","Bimal Yadav","Lok Dohori",76,"Happy,Calm"
"Naya Chhaya","Gopal Sherpa","Folk",93,"Romantic,Calm"
"Dherai Sapana","Sita Magar","Modern",91,"Melancholic,Sad"
"Sagar Dhoon","Hari Rai","Modern",87,"Happy,Calm"
"Tadha Geet","Laxmi Thapa","Modern",135,"Sad,Melancholic"
"Samjhana Milan","Sita Yadav","Gurung Folk",108,"Melancholic,Sad"
"Tadha Sansaar","Ramesh Limbu","Rock",75,"Happy,Calm"
"Sagar Din","Bimal Yadav","Bhajan",118,"Energetic,Devotional"
"Aankhama Sugandha","Phosphenes","Folk",142,"Romantic,Energetic"
"Mantra Sparsha","Sita Yadav","Newari",121,"Happy,Devotional"
"Himal Tara","Bipul Chettri","Modern",70,"Happy,Calm"
"Maya Ujyaalo","Laxmi Gurung","Lok Dohori",90,"Happy,Calm"
"Ujyaalo Mann","Sita Rai","Lok Dohori",125,"Sad,Melancholic"
"Ujyaalo Katha","Krishna Chhetri","Pop",86,"Sad,Melancholic"
"Pari Tara","Krishna Yadav","Lok Dohori",109,"Calm,Romantic"
"Ujyaalo Aankha","Laxmi Thapa","Rock",115,"Energetic,Happy"
"Joonko Ujyaalo","Shanti Thapa","Pop",81,"Sad,Melancholic"
"Pari Andhakar","Laxmi Gurung","Bhajan",99,"Romantic,Devotional"
"Sundar Andhakar","Laxmi Rai","Pop",60,"Happy,Calm"
"Ujyaalo Tara","Ram Krishna Dhakal","Tamang Selo",80,"Happy,Calm"
"Aankhama Ujyaalo","Suman Chhetri","Bhajan",95,"Energetic,Devotional"
"Ganga Rimjhim","Badri Pangeni","Folk",75,"Happy,Calm"
"Aankhama Raat","Albatross","Tamang Selo",133,"Romantic,Energetic"
"Dherai Sugandha","Laxmi Rai","Newari",71,"Energetic,Devotional"
"Samjhana Sparsha","Laxmi Yadav","Rock",91,"Happy,Calm"
"Tadha Raat","Hemanta Rana","Tamang Selo",103,"Calm,Romantic"
"Sundar Dil","Laxmi Rai","Pop",129,"Happy,Energetic"
"Dilko Dil","Laxmi Gurung","Rock",71,"Happy,Calm"
"Basanta Katha","Prakash Saput","Modern",123,"Calm,Romantic"
"Dherai Geet","Rajan Raj Shiwakoti","Modern",100,"Sad,Melancholic"
"Koshi Din","Shanti Chhetri","Pop",80,"Devotional,Calm"
"Phoolko Dhoon","Hari Rai","Rock",109,"Patriotic,Happy"
"Eklo Raat","Laxmi Yadav","Pop",104,"Energetic,Happy"
"Lahara Maya","Shanti Chhetri","Lok Dohori",88,"Sad,Melancholic"
"Naya Sparsha","Sita Yadav","Lok Dohori",101,"Happy,Calm"
"Chhaya","1974 AD","Tamang Selo",92,"Romantic,Calm"
"Pari Sansaar","Kandara","Pop",102,"Romantic,Calm"
"Andhakar Mann","Pramod Kharel","Pop",113,"Happy,Energetic"
"Timro Sapana","Shanti Gurung","Folk",132,"Romantic,Energetic"
"Pari Maya","Krishna Sherpa","Pop",75,"Energetic,Romantic"
"Chiso Andhakar","Shanti Rai","Folk",143,"Romantic,Energetic"
"Jhilmil Tara","Laxmi Thapa","Newari",61,"Energetic,Devotional"
"Maya Jindagi","Suman Rai","Folk",97,"Romantic,Calm"
"Rimjhim Saath","Gopal Tamang","Folk",112,"Energetic,Romantic"
"Maya Chhaya","Suman Gurung","Pop",106,"Sad,Melancholic"
"Pahadko Geet","Shanti Thapa","Lok Dohori",88,"Happy,Calm"
"Ujyaalo Bato","Anju Panta","Lok Dohori",96,"Melancholic,Sad"
"Sagar Joon","Hari Thapa","Pop",104,"Calm,Romantic"
"Rimjhim Aankha","Ramesh Sherpa","Lok Dohori",103,"Sad,Melancholic"
"Basanta Sapana","Bimal Rai","Folk",114,"Happy,Calm"
"Pahadko Dhoon","Suman Gurung","Modern",62,"Romantic,Calm"
"Dherai Mann","Laxmi Gurung","Folk",117,"Energetic,Happy"
"Joonko Geet","Shanti Chhetri","Rock",91,"Romantic,Calm"
"Sapana Saath","Laxmi Rai","Folk",87,"Happy,Calm"
"Jhilmil Dhoon","Krishna Yadav","Pop",99,"Energetic,Happy"
"Pari Swar","Sita Magar","Folk",113,"Calm,Romantic"
"Aankhama Tara","Hari Rai","Modern",104,"Romantic,Energetic"
"Mero Geet","Laxmi Thapa","Folk",123,"Sad,Melancholic"
"Samjhana Raat","Krishna Chhetri","Rock",91,"Energetic,Romantic"
"Tadha Mann","Suman Rai","Pop",115,"Happy,Calm"
"Ujyaalo Sapana","Laxmi Gurung","Lok Dohori",80,"Romantic,Calm"
"Sundar Joon","Sita Yadav","Folk",112,"Energetic,Happy"
"Dilko Raat","Ramesh Limbu","Pop",95,"Calm,Romantic"
"Joonko Sansaar","Shanti Thapa","Modern",108,"Sad,Melancholic"
"Pahadko Tara","Hari Sherpa","Gurung Folk",84,"Happy,Calm"
"Sagar Swar","Laxmi Yadav","Folk",102,"Romantic,Calm"
"Timro Mann","Krishna Tamang","Pop",119,"Energetic,Happy"
"Chhaya Geet","Sita Rai","Lok Dohori",90,"Sad,Melancholic"
"Sapana Joon","Laxmi Gurung","Folk",106,"Romantic,Calm"
"Jhilmil Sapana","Shanti Chhetri","Modern",111,"Happy,Energetic"
"Dherai Tara","Hari Thapa","Pop",87,"Calm,Romantic"
"Ujyaalo Raat","Ramesh Sherpa","Rock",104,"Energetic,Happy"
"Basanta Mann","Suman Gurung","Folk",92,"Happy,Calm"
"Pahadko Swar","Laxmi Rai","Lok Dohori",115,"Romantic,Energetic"
"Sundar Sapana","Krishna Yadav","Pop",80,"Sad,Melancholic"
"Joonko Dhoon","Sita Magar","Folk",108,"Calm,Romantic"
"Timro Swar","Hari Rai","Modern",99,"Happy,Calm"
"Mero Sapana","Laxmi Thapa","Pop",112,"Romantic,Energetic"
"Samjhana Geet","Krishna Chhetri","Rock",105,"Sad,Melancholic"
"Tadha Joon","Suman Rai","Folk",90,"Happy,Calm"
"Ujyaalo Swar","Laxmi Gurung","Lok Dohori",116,"Energetic,Happy"
"Sundar Mann","Sita Yadav","Folk",84,"Romantic,Calm"
