title,artist,genre,tempo,mood_tags,combined_features
Gaun Ko Chhoro,Khem Century,Folk,105,"Nostalgic,Happy",khemcentury folk 105 nostalgic happy
Maya Ko Duniya,Samir Shrestha,Pop,110,"Romantic,Happy",samirshrestha pop 110 romantic happy
Timro Saath Le,Shanti Shree Pariyar,Pop,105,"Romantic,Dreamy",shantishreepariyar pop 105 romantic dreamy
Dil Ko Chhaya,Asmita Adhikari,Pop,110,"Romantic,Calm",asmitaadhikari pop 110 romantic calm
Timilai Samjhanda,Eleena Chauhan,Pop,115,"Happy,Romantic",eleenachauhan pop 115 happy romantic
Mero Prem Ko,Mahesh Kafle,Pop,120,"Happy,Romantic",maheshkafle pop 120 happy romantic
Man Ko Dukha,Brijesh Shrestha,Indie,90,"Sad,Melancholic",brijeshshrestha indie 90 sad melancholic
Saanjha Ko Lahar,Kali Prasad Baskota,Pop,105,"Calm,Dreamy",kaliprasadbaskota pop 105 calm dreamy
Timro Maya Le,Ashish Aviral,Pop,110,"Happy,Romantic",ashishaviral pop 110 happy romantic
Mero Jivan Ko Sapana,Purna Rai,Pop,115,"Romantic,Uplifting",purnarai pop 115 romantic uplifting
Desh Ko Suseli,Yodda,Rap,95,"Energetic,Patriotic",yodda rap 95 energetic patriotic
Timro Yaad Le,Chirag Khadka,Indie,85,"Sad,Melancholic",chiragkhadka indie 85 sad melancholic
Maya Ko Baat,Nawaj Ansari,Pop,110,"Romantic,Happy",nawajansari pop 110 romantic happy
Phool Ko Geet,Sugam Pokhrel,Pop,105,"Calm,Romantic",sugampokhrel pop 105 calm romantic
Jivan Ko Dhoon,Nabin K Bhattarai,Pop,100,"Sad,Introspective",nabinkbhattarai pop 100 sad introspective
Timro Saath Ko Lahar,Karma Band,Rock,130,"Energetic,Romantic",karmaband rock 130 energetic romantic
Saanjha Ko Maya,The Uglyz,Pop,105,"Calm,Romantic",theuglyz pop 105 calm romantic
Mero Desh Ko Suseli,Prem Dhoj Pradhan,Folk,110,"Nostalgic,Patriotic",premdhojpradhan folk 110 nostalgic patriotic
Timro Hridaya Le,Himali Gurung,Pop,115,"Happy,Romantic",himaligurung pop 115 happy romantic
Aankha Ko Dhoon,Ravi Thapa,Pop,100,"Romantic,Calm",ravithapa pop 100 romantic calm
Pahilo Maya Ko,Sita Magar,Pop,110,"Romantic,Happy",sitamagar pop 110 romantic happy
Chiso Raat Ma,Aarush Shrestha,Indie,90,"Sad,Calm",aarushshrestha indie 90 sad calm
Man Ko Lahar,Nisha Tamang,Pop,105,"Romantic,Sad",nishatamang pop 105 romantic sad
Geet Ko Suseli,Bijay Lama,Pop,115,"Happy,Uplifting",bijaylama pop 115 happy uplifting
Timro Muskan Ko Dhoon,Suman Rai,Pop,120,"Happy,Romantic",sumanrai pop 120 happy romantic
Jivan Ko Chhaya,Anita Chhetri,Pop,110,"Happy,Inspirational",anitachhetri pop 110 happy inspirational
Maya Ko Sapana Ma,Prabin Gurung,Indie,85,"Sad,Romantic",prabingurung indie 85 sad romantic
Timro Saath Ko Dhoon,Lila Bhattarai,Pop,105,"Romantic,Calm",lilabhattarai pop 105 romantic calm
Timilai Samjhanda Ko,Narayan Gopal,Folk,110,"Nostalgic,Romantic",narayangopal folk 110 nostalgic romantic
Man Ko Pida Ko,Phatteman Rajbhandari,Classical,90,"Sad,Melancholic",phattemanrajbhandari classical 90 sad melancholic
Aankha Ko Maya,Aruna Lama,Classical,85,"Sad,Romantic",arunalama classical 85 sad romantic
Mero Jivan Ko Dhoon,Bhakta Raj Acharya,Classical,80,"Sad,Introspective",bhaktarajacharya classical 80 sad introspective
Dil Ko Suseli,Gopal Yonjan,Classical,95,"Calm,Traditional",gopalyonjan classical 95 calm traditional
Timro Maya Ko Dhoon,Arun Thapa,Pop,100,"Romantic,Sad",arunthapa pop 100 romantic sad
Man Ko Kura Ko,Tanka Budhathoki,Pop,110,"Romantic,Happy",tankabudhathoki pop 110 romantic happy
Timro Lagi Geet Ko,Melina Rai,Pop,115,"Romantic,Uplifting",melinarai pop 115 romantic uplifting
Pahad Ko Maya,Bishnu Majhi,Folk,105,"Nostalgic,Happy",bishnumajhi folk 105 nostalgic happy
Chhati Ko Geet,Pramod Kharel,Pop,100,"Sad,Melancholic",pramodkharel pop 100 sad melancholic
Timro Muskurahat Ko,Swoopna Suman,Pop,120,"Happy,Romantic",swoopnasuman pop 120 happy romantic
Maya Ko Jadoo Ko,Sushant KC,Pop,115,"Happy,Uplifting",sushantkc pop 115 happy uplifting
Timro Saath Bina Ko,Sajjan Raj Vaidya,Indie,90,"Sad,Romantic",sajjanrajvaidya indie 90 sad romantic
Man Ko Geet Ko,Nepathya,Rock,135,"Energetic,Inspirational",nepathya rock 135 energetic inspirational
Dil Ko Maya Ko,Oasis Thapa,Indie,95,"Romantic,Calm",oasisthapa indie 95 romantic calm
Timro Hridaya Ma Ko,Samir Shrestha,Pop,110,"Happy,Romantic",samirshrestha pop 110 happy romantic
Maya Ko Rimjhim,Anju Panta,Pop,115,"Romantic,Happy",anjupanta pop 115 romantic happy
Basanta Ko Hawa,Sugam Pokhrel,Pop,110,"Happy,Calm",sugampokhrel pop 110 happy calm
K Yo Maya Ho,VTEN,Rap,100,"Energetic,Romantic",vten rap 100 energetic romantic
Timro Man Ko Kotha,Sajjan Raj Vaidya,Indie,90,"Sad,Romantic",sajjanrajvaidya indie 90 sad romantic
Pahilo Bhet Ko,Yabesh Thapa,Indie,85,"Romantic,Calm",yabeshthapa indie 85 romantic calm
Timro Muskan Ko Jadoo,Sushant KC,Pop,120,"Happy,Romantic",sushantkc pop 120 happy romantic
Gaun Ko Dhoon,Khem Century,Folk,105,"Nostalgic,Happy",khemcentury folk 105 nostalgic happy
Maya Ko Sansar,Samir Shrestha,Pop,110,"Romantic,Happy",samirshrestha pop 110 romantic happy
Timro Saath Ko Sapana,Shanti Shree Pariyar,Pop,105,"Romantic,Dreamy",shantishreepariyar pop 105 romantic dreamy
Dil Ko Dhoon,Asmita Adhikari,Pop,110,"Romantic,Calm",asmitaadhikari pop 110 romantic calm
Timilai Samjhandai,Eleena Chauhan,Pop,115,"Happy,Romantic",eleenachauhan pop 115 happy romantic
Mero Prem Ko Geet,Mahesh Kafle,Pop,120,"Happy,Romantic",maheshkafle pop 120 happy romantic
Man Ko Chhaya Ma,Brijesh Shrestha,Indie,90,"Sad,Melancholic",brijeshshrestha indie 90 sad melancholic
Saanjha Ko Dhoon,Kali Prasad Baskota,Pop,105,"Calm,Dreamy",kaliprasadbaskota pop 105 calm dreamy
Timro Maya Ko Jadoo,Ashish Aviral,Pop,110,"Happy,Romantic",ashishaviral pop 110 happy romantic
Mero Jivan Ko Lahar,Purna Rai,Pop,115,"Romantic,Uplifting",purnarai pop 115 romantic uplifting
Desh Ko Geet Ko,Yodda,Rap,95,"Energetic,Patriotic",yodda rap 95 energetic patriotic
Timro Yaad Ko Dhoon,Chirag Khadka,Indie,85,"Sad,Melancholic",chiragkhadka indie 85 sad melancholic
Maya Ko Sansar Ma,Nawaj Ansari,Pop,110,"Romantic,Happy",nawajansari pop 110 romantic happy
Phool Ko Lahar,Sugam Pokhrel,Pop,105,"Calm,Romantic",sugampokhrel pop 105 calm romantic
Jivan Ko Geet Ma,Nabin K Bhattarai,Pop,100,"Sad,Introspective",nabinkbhattarai pop 100 sad introspective
Timro Saath Ko Dhoon,Karma Band,Rock,130,"Energetic,Romantic",karmaband rock 130 energetic romantic
Saanjha Ko Suseli Ko,The Uglyz,Pop,105,"Calm,Romantic",theuglyz pop 105 calm romantic
Mero Desh Ko Dhoon,Prem Dhoj Pradhan,Folk,110,"Nostalgic,Patriotic",premdhojpradhan folk 110 nostalgic patriotic
Timro Hridaya Ko Geet,Himali Gurung,Pop,115,"Happy,Romantic",himaligurung pop 115 happy romantic
Aankha Ko Lahar,Ravi Thapa,Pop,100,"Romantic,Calm",ravithapa pop 100 romantic calm
Pahilo Maya Ko Geet,Sita Magar,Pop,110,"Romantic,Happy",sitamagar pop 110 romantic happy
Chiso Raat Ko,Aarush Shrestha,Indie,90,"Sad,Calm",aarushshrestha indie 90 sad calm
Man Ko Suseli Ko,Nisha Tamang,Pop,105,"Romantic,Sad",nishatamang pop 105 romantic sad
Geet Ko Maya Ko,Bijay Lama,Pop,115,"Happy,Uplifting",bijaylama pop 115 happy uplifting
Timro Muskan Ko Lahar,Suman Rai,Pop,120,"Happy,Romantic",sumanrai pop 120 happy romantic
Jivan Ko Dhoon Ko,Anita Chhetri,Pop,110,"Happy,Inspirational",anitachhetri pop 110 happy inspirational
Maya Ko Lahar Ma,Prabin Gurung,Indie,85,"Sad,Romantic",prabingurung indie 85 sad romantic
Timro Saath Ko Maya Ko,Lila Bhattarai,Pop,105,"Romantic,Calm",lilabhattarai pop 105 romantic calm
Timilai Samjhanda Ma,Narayan Gopal,Folk,110,"Nostalgic,Romantic",narayangopal folk 110 nostalgic romantic
Man Ko Dukha Ko,Phatteman Rajbhandari,Classical,90,"Sad,Melancholic",phattemanrajbhandari classical 90 sad melancholic
Aankha Ko Geet,Aruna Lama,Classical,85,"Sad,Romantic",arunalama classical 85 sad romantic
Mero Jivan Ko Suseli,Bhakta Raj Acharya,Classical,80,"Sad,Introspective",bhaktarajacharya classical 80 sad introspective
Dil Ko Lahar,Gopal Yonjan,Classical,95,"Calm,Traditional",gopalyonjan classical 95 calm traditional
Timro Maya Ko Lahar,Arun Thapa,Pop,100,"Romantic,Sad",arunthapa pop 100 romantic sad
Man Ko Geet Ma,Tanka Budhathoki,Pop,110,"Romantic,Happy",tankabudhathoki pop 110 romantic happy
Timro Lagi Suseli,Melina Rai,Pop,115,"Romantic,Uplifting",melinarai pop 115 romantic uplifting
Pahad Ko Dhoon,Bishnu Majhi,Folk,105,"Nostalgic,Happy",bishnumajhi folk 105 nostalgic happy
Chhati Ko Suseli,Pramod Kharel,Pop,100,"Sad,Melancholic",pramodkharel pop 100 sad melancholic
Timro Muskurahat Ko Geet,Swoopna Suman,Pop,120,"Happy,Romantic",swoopnasuman pop 120 happy romantic
Maya Ko Suseli Ko,Sushant KC,Pop,115,"Happy,Uplifting",sushantkc pop 115 happy uplifting
Timro Saath Bina Ma,Sajjan Raj Vaidya,Indie,90,"Sad,Romantic",sajjanrajvaidya indie 90 sad romantic
Man Ko Dhoon Ko,Nepathya,Rock,135,"Energetic,Inspirational",nepathya rock 135 energetic inspirational
Dil Ko Geet Ko,Oasis Thapa,Indie,95,"Romantic,Calm",oasisthapa indie 95 romantic calm
Timro Hridaya Ko Lahar,Samir Shrestha,Pop,110,"Happy,Romantic",samirshrestha pop 110 happy romantic
Maya Ko Baato Ma,Anju Panta,Pop,115,"Romantic,Happy",anjupanta pop 115 romantic happy
Dashain Ko Geet,Sugam Pokhrel,Folk,110,"Happy,Celebratory",sugampokhrel folk 110 happy celebratory
Hip Hop Ko Duniya,VTEN,Rap,100,"Energetic,Rebellious",vten rap 100 energetic rebellious
Timro Man Ko Dhoon,Sajjan Raj Vaidya,Indie,90,"Sad,Romantic",sajjanrajvaidya indie 90 sad romantic
Pahilo Prem Ko Sapana,Yabesh Thapa,Indie,85,"Romantic,Calm",yabeshthapa indie 85 romantic calm
Timro Muskan Ko Geet,Sushant KC,Pop,120,"Happy,Romantic",sushantkc pop 120 happy romantic
Gaun Ko Suseli Ma,Khem Century,Folk,105,"Nostalgic,Happy",khemcentury folk 105 nostalgic happy
Maya Ko Jadoo Ma,Samir Shrestha,Pop,110,"Romantic,Happy",samirshrestha pop 110 romantic happy
Timro Saath Ko Geet Ma,Shanti Shree Pariyar,Pop,105,"Romantic,Dreamy",shantishreepariyar pop 105 romantic dreamy
Dil Ko Sapana Ma,Asmita Adhikari,Pop,110,"Romantic,Calm",asmitaadhikari pop 110 romantic calm
Timilai Samjhanda Ma,Eleena Chauhan,Pop,115,"Happy,Romantic",eleenachauhan pop 115 happy romantic
Mero Prem Ko Dhoon,Mahesh Kafle,Pop,120,"Happy,Romantic",maheshkafle pop 120 happy romantic
Man Ko Lahar Ma,Brijesh Shrestha,Indie,90,"Sad,Melancholic",brijeshshrestha indie 90 sad melancholic
Saanjha Ko Suseli Ma,Kali Prasad Baskota,Pop,105,"Calm,Dreamy",kaliprasadbaskota pop 105 calm dreamy
Timro Maya Ko Geet Ma,Ashish Aviral,Pop,110,"Happy,Romantic",ashishaviral pop 110 happy romantic
Mero Jivan Ko Maya Ko,Purna Rai,Pop,115,"Romantic,Uplifting",purnarai pop 115 romantic uplifting
Desh Ko Dhoon Ko,Yodda,Rap,95,"Energetic,Patriotic",yodda rap 95 energetic patriotic
Timro Yaad Ko Lahar,Chirag Khadka,Indie,85,"Sad,Melancholic",chiragkhadka indie 85 sad melancholic
Maya Ko Geet Ma,Nawaj Ansari,Pop,110,"Romantic,Happy",nawajansari pop 110 romantic happy
Phool Ko Suseli,Sugam Pokhrel,Pop,105,"Calm,Romantic",sugampokhrel pop 105 calm romantic
Jivan Ko Lahar Ko,Nabin K Bhattarai,Pop,100,"Sad,Introspective",nabinkbhattarai pop 100 sad introspective
Timro Saath Ko Suseli,Karma Band,Rock,130,"Energetic,Romantic",karmaband rock 130 energetic romantic
Saanjha Ko Geet Ma,The Uglyz,Pop,105,"Calm,Romantic",theuglyz pop 105 calm romantic
Mero Desh Ko Lahar,Prem Dhoj Pradhan,Folk,110,"Nostalgic,Patriotic",premdhojpradhan folk 110 nostalgic patriotic
Timro Hridaya Ko Dhoon,Himali Gurung,Pop,115,"Happy,Romantic",himaligurung pop 115 happy romantic
Aankha Ko Suseli,Ravi Thapa,Pop,100,"Romantic,Calm",ravithapa pop 100 romantic calm
Pahilo Maya Ko Dhoon,Sita Magar,Pop,110,"Romantic,Happy",sitamagar pop 110 romantic happy
Chiso Raat Ko Geet,Aarush Shrestha,Indie,90,"Sad,Calm",aarushshrestha indie 90 sad calm
Man Ko Maya Ko,Nisha Tamang,Pop,105,"Romantic,Sad",nishatamang pop 105 romantic sad
Geet Ko Dhoon Ma,Bijay Lama,Pop,115,"Happy,Uplifting",bijaylama pop 115 happy uplifting
Timro Muskan Ko Suseli,Suman Rai,Pop,120,"Happy,Romantic",sumanrai pop 120 happy romantic
Jivan Ko Geet Ko,Anita Chhetri,Pop,110,"Happy,Inspirational",anitachhetri pop 110 happy inspirational
Maya Ko Dhoon Ma,Prabin Gurung,Indie,85,"Sad,Romantic",prabingurung indie 85 sad romantic
Timro Saath Ko Lahar Ma,Lila Bhattarai,Pop,105,"Romantic,Calm",lilabhattarai pop 105 romantic calm
Timilai Samjhanda Ko Geet,Narayan Gopal,Folk,110,"Nostalgic,Romantic",narayangopal folk 110 nostalgic romantic
Man Ko Suseli Ko,Phatteman Rajbhandari,Classical,90,"Sad,Melancholic",phattemanrajbhandari classical 90 sad melancholic
Aankha Ko Dhoon Ko,Aruna Lama,Classical,85,"Sad,Romantic",arunalama classical 85 sad romantic
Mero Jivan Ko Lahar,Bhakta Raj Acharya,Classical,80,"Sad,Introspective",bhaktarajacharya classical 80 sad introspective
Dil Ko Geet Ma,Gopal Yonjan,Classical,95,"Calm,Traditional",gopalyonjan classical 95 calm traditional
Timro Maya Ko Suseli,Arun Thapa,Pop,100,"Romantic,Sad",arunthapa pop 100 romantic sad
Man Ko Dhoon Ma,Tanka Budhathoki,Pop,110,"Romantic,Happy",tankabudhathoki pop 110 romantic happy
Timro Lagi Maya Ko,Melina Rai,Pop,115,"Romantic,Uplifting",melinarai pop 115 romantic uplifting
Pahad Ko Lahar,Bishnu Majhi,Folk,105,"Nostalgic,Happy",bishnumajhi folk 105 nostalgic happy
Chhati Ko Dhoon Ma,Pramod Kharel,Pop,100,"Sad,Melancholic",pramodkharel pop 100 sad melancholic
Timro Muskurahat Ko Dhoon,Swoopna Suman,Pop,120,"Happy,Romantic",swoopnasuman pop 120 happy romantic
Maya Ko Lahar Ko,Sushant KC,Pop,115,"Happy,Uplifting",sushantkc pop 115 happy uplifting
Timro Saath Bina Ko,Sajjan Raj Vaidya,Indie,90,"Sad,Romantic",sajjanrajvaidya indie 90 sad romantic
Man Ko Suseli Ma,Nepathya,Rock,135,"Energetic,Inspirational",nepathya rock 135 energetic inspirational
Dil Ko Dhoon Ko,Oasis Thapa,Indie,95,"Romantic,Calm",oasisthapa indie 95 romantic calm
Timro Hridaya Ko Suseli,Samir Shrestha,Pop,110,"Happy,Romantic",samirshrestha pop 110 happy romantic
Phoolko Joon,Hari Thapa,Gurung Folk,110,"Calm,Romantic",harithapa gurung folk 110 calm romantic
Eklo Andhakar,Radha Sherpa,Lok Dohori,97,"Romantic,Calm",radhasherpa lok dohori 97 romantic calm
Bishal Sparsha,Krishna Sherpa,Folk,113,"Sad,Melancholic",krishnasherpa folk 113 sad melancholic
Joonko Aankha,Suman Gurung,Tamang Selo,130,"Sad,Melancholic",sumangurung tamang selo 130 sad melancholic
Mantra Sparsha,Laxmi Gurung,Newari,95,"Melancholic,Sad",laxmigurung newari 95 melancholic sad
Sagar Ujyaalo,Laxmi Gurung,Modern,95,"Happy,Calm",laxmigurung modern 95 happy calm
Joonko Chhaya,Rajan Raj Shiwakoti,Modern,132,"Energetic,Happy",rajanrajshiwakoti modern 132 energetic happy
Haatma Swar,Ramesh Yadav,Folk,115,"Sad,Melancholic",rameshyadav folk 115 sad melancholic
Tadha Pani,Kutumba,Gurung Folk,91,"Calm,Romantic",kutumba gurung folk 91 calm romantic
Samjhana Sugandha,Laxmi Yadav,Bhajan,111,"Happy,Devotional",laxmiyadav bhajan 111 happy devotional
Sundar Andhakar,Ramesh Limbu,Gurung Folk,91,"Melancholic,Sad",rameshlimbu gurung folk 91 melancholic sad
Bato Biraha,Gopal Rai,Gurung Folk,91,"Romantic,Calm",gopalrai gurung folk 91 romantic calm
Ujyaalo Tara,Krishna Chhetri,Pop,105,"Sad,Melancholic",krishnachhetri pop 105 sad melancholic
Himal Raat,Laxmi Gurung,Pop,62,"Sad,Melancholic",laxmigurung pop 62 sad melancholic
Phoolko Biraha,Deepak Limbu,Pop,66,"Melancholic,Sad",deepaklimbu pop 66 melancholic sad
Himal Pani,Badri Pangeni,Folk,89,"Energetic,Romantic",badripangeni folk 89 energetic romantic
Bishal Sugandha,Gopal Shrestha,Rock,80,"Romantic,Calm",gopalshrestha rock 80 romantic calm
Koshi Haath,Albatross,Modern,106,"Energetic,Happy",albatross modern 106 energetic happy
Koshi Aankha,Bimal Magar,Modern,82,"Romantic,Calm",bimalmagar modern 82 romantic calm
Chiso Joon,Sabin Rai,Folk,72,"Happy,Calm",sabinrai folk 72 happy calm
Ujyaalo Sugandha,Cobweb,Folk,129,"Sad,Melancholic",cobweb folk 129 sad melancholic
Phoolko Aankha,Albatross,Pop,95,"Patriotic,Happy",albatross pop 95 patriotic happy
Sajhako Pani,Aruna Lama,Folk,101,"Energetic,Romantic",arunalama folk 101 energetic romantic
Ganga Tara,Aruna Lama,Folk,72,"Patriotic,Calm",arunalama folk 72 patriotic calm
Jindagi Swar,Laxmi Rai,Folk,89,"Devotional,Calm",laxmirai folk 89 devotional calm
Eklo Milan,Shanti Gurung,Pop,102,"Sad,Melancholic",shantigurung pop 102 sad melancholic
Chiso Lahara,Deepak Limbu,Lok Dohori,77,"Happy,Calm",deepaklimbu lok dohori 77 happy calm
Pari Rimjhim,Narayan Gopal,Pop,108,"Calm,Romantic",narayangopal pop 108 calm romantic
Maya Pani,Kutumba,Lok Dohori,88,"Sad,Melancholic",kutumba lok dohori 88 sad melancholic
Haatma Dhoon,Devi Gharti,Modern,94,"Happy,Calm",devigharti modern 94 happy calm
Tadha Dil,Sita Magar,Rock,88,"Sad,Melancholic",sitamagar rock 88 sad melancholic
Jindagi Haath,Krishna Gurung,Folk,137,"Sad,Melancholic",krishnagurung folk 137 sad melancholic
Samjhana Milan,Ramesh Chhetri,Rock,100,"Melancholic,Sad",rameshchhetri rock 100 melancholic sad
Phoolko Raat,Laxmi Gurung,Gurung Folk,79,"Patriotic,Calm",laxmigurung gurung folk 79 patriotic calm
Phoolko Chhaya,Laxmi Gurung,Folk,116,"Melancholic,Sad",laxmigurung folk 116 melancholic sad
Phoolko Tara,Krishna Yadav,Folk,76,"Energetic,Romantic",krishnayadav folk 76 energetic romantic
Bishal Biraha,Hari Sherpa,Gurung Folk,104,"Romantic,Energetic",harisherpa gurung folk 104 romantic energetic
Sundar Raat,Laxmi Gurung,Folk,61,"Romantic,Calm",laxmigurung folk 61 romantic calm
Samjhana Maya,Sabin Rai,Lok Dohori,73,"Happy,Calm",sabinrai lok dohori 73 happy calm
Pahadko Katha,Krishna Gurung,Folk,104,"Romantic,Energetic",krishnagurung folk 104 romantic energetic
Jindagi Rimjhim,Khem Raj Gurung,Newari,115,"Romantic,Energetic",khemrajgurung newari 115 romantic energetic
Tadha Sansaar,Ramesh Thapa,Pop,103,"Sad,Melancholic",rameshthapa pop 103 sad melancholic
Samjhana Sansaar,Narayan Gopal,Lok Dohori,98,"Calm,Romantic",narayangopal lok dohori 98 calm romantic
Jhilmil Chhaya,Karma Band,Pop,94,"Melancholic,Sad",karmaband pop 94 melancholic sad
Dherai Chhaya,Krishna Yadav,Modern,70,"Happy,Calm",krishnayadav modern 70 happy calm
Samjhana Mann,Sita Rai,Newari,86,"Romantic,Calm",sitarai newari 86 romantic calm
Timro Tara,Melina Rai,Lok Dohori,91,"Romantic,Calm",melinarai lok dohori 91 romantic calm
Chhaya Sparsha,Hari Gurung,Gurung Folk,121,"Romantic,Energetic",harigurung gurung folk 121 romantic energetic
Dilko Andhakar,1974 AD,Newari,107,"Happy,Devotional",1974ad newari 107 happy devotional
Himal Saath,Shanti Chhetri,Tamang Selo,65,"Romantic,Calm",shantichhetri tamang selo 65 romantic calm
Rimjhim Din,Sabin Rai,Folk,106,"Happy,Energetic",sabinrai folk 106 happy energetic
Pari Pal,Ramesh Sherpa,Folk,92,"Romantic,Calm",rameshsherpa folk 92 romantic calm
Aankhama Pal,Laxmi Tamang,Pop,86,"Sad,Melancholic",laxmitamang pop 86 sad melancholic
Phoolko Dhoon,Suman Chhetri,Modern,112,"Energetic,Happy",sumanchhetri modern 112 energetic happy
Bishal Sapana,Karma Band,Newari,121,"Sad,Melancholic",karmaband newari 121 sad melancholic
Jindagi Mann,Hari Thapa,Rock,119,"Romantic,Energetic",harithapa rock 119 romantic energetic
Raatko Dil,Shanti Gurung,Pop,83,"Melancholic,Sad",shantigurung pop 83 melancholic sad
Bato Maya,Gopal Chhetri,Rock,94,"Calm,Romantic",gopalchhetri rock 94 calm romantic
Bishal Milan,Sita Yadav,Lok Dohori,107,"Happy,Calm",sitayadav lok dohori 107 happy calm
Jhilmil Pani,Shanti Rai,Modern,120,"Romantic,Energetic",shantirai modern 120 romantic energetic
Haatma Yaad,Laxmi Gurung,Folk,90,"Energetic,Romantic",laxmigurung folk 90 energetic romantic
Ganga Biraha,Laxmi Gurung,Pop,96,"Energetic,Romantic",laxmigurung pop 96 energetic romantic
Simal Milan,Hari Sherpa,Rock,78,"Energetic,Happy",harisherpa rock 78 energetic happy
Sajhako Geet,Melina Rai,Rock,76,"Calm,Romantic",melinarai rock 76 calm romantic
Raatko Aankha,Laxmi Thapa,Lok Dohori,116,"Calm,Romantic",laxmithapa lok dohori 116 calm romantic
Joonko Milan,Laxmi Rai,Rock,127,"Romantic,Energetic",laxmirai rock 127 romantic energetic
Himal Pani,Bimal Magar,Folk,99,"Romantic,Calm",bimalmagar folk 99 romantic calm
Dherai Raat,Devi Gharti,Gurung Folk,120,"Romantic,Energetic",devigharti gurung folk 120 romantic energetic
Phoolko Aankha,Shanti Yadav,Modern,107,"Romantic,Energetic",shantiyadav modern 107 romantic energetic
Simal Jindagi,Devi Gharti,Pop,87,"Romantic,Calm",devigharti pop 87 romantic calm
Naya Sparsha,Raju Lama,Pop,107,"Devotional,Calm",rajulama pop 107 devotional calm
Sundar Aankha,Radha Tamang,Folk,131,"Romantic,Energetic",radhatamang folk 131 romantic energetic
Andhakar Sugandha,Shanti Chhetri,Rock,99,"Calm,Romantic",shantichhetri rock 99 calm romantic
Raatko Dhoon,Hari Sherpa,Tamang Selo,131,"Melancholic,Sad",harisherpa tamang selo 131 melancholic sad
Jhilmil Ujyaalo,Krishna Chhetri,Newari,60,"Romantic,Calm",krishnachhetri newari 60 romantic calm
Pari Aankha,Devi Gharti,Tamang Selo,116,"Sad,Melancholic",devigharti tamang selo 116 sad melancholic
Sundar Jindagi,Badri Pangeni,Folk,102,"Happy,Calm",badripangeni folk 102 happy calm
Pahadko Pal,Shanti Rai,Folk,94,"Calm,Romantic",shantirai folk 94 calm romantic
Samjhana Sugandha,Gopal Sherpa,Lok Dohori,102,"Romantic,Calm",gopalsherpa lok dohori 102 romantic calm
Phoolko Dil,Shanti Rai,Rock,60,"Energetic,Happy",shantirai rock 60 energetic happy
Sapana Ujyaalo,Gopal Sherpa,Newari,96,"Calm,Romantic",gopalsherpa newari 96 calm romantic
Mero Andhakar,Laxmi Thapa,Rock,107,"Melancholic,Sad",laxmithapa rock 107 melancholic sad
Sagar Sparsha,Ramesh Sherpa,Rock,130,"Romantic,Energetic",rameshsherpa rock 130 romantic energetic
Aankhama Jindagi,Santosh Lama,Rock,90,"Happy,Calm",santoshlama rock 90 happy calm
Himal Milan,Gopal Rai,Lok Dohori,84,"Romantic,Calm",gopalrai lok dohori 84 romantic calm
Samjhana Katha,Bartika Eam Rai,Newari,90,"Calm,Romantic",bartikaeamrai newari 90 calm romantic
Mero Pani,Ramesh Limbu,Pop,118,"Energetic,Happy",rameshlimbu pop 118 energetic happy
Chiso Maya,Suman Gurung,Pop,107,"Sad,Melancholic",sumangurung pop 107 sad melancholic
Simal Maya,Khem Raj Gurung,Tamang Selo,89,"Energetic,Romantic",khemrajgurung tamang selo 89 energetic romantic
Bishal Mann,Raju Lama,Modern,110,"Romantic,Energetic",rajulama modern 110 romantic energetic
Timro Sparsha,Devi Gharti,Pop,102,"Happy,Calm",devigharti pop 102 happy calm
Dherai Pal,Laxmi Yadav,Lok Dohori,119,"Calm,Romantic",laxmiyadav lok dohori 119 calm romantic
Sapana Aankha,Khem Raj Gurung,Lok Dohori,86,"Happy,Calm",khemrajgurung lok dohori 86 happy calm
Haatma Sparsha,Ramesh Yadav,Pop,93,"Happy,Calm",rameshyadav pop 93 happy calm
Sagar Lahara,Laxmi Thapa,Folk,92,"Romantic,Calm",laxmithapa folk 92 romantic calm
Phoolko Lahara,Shanti Yadav,Folk,71,"Romantic,Calm",shantiyadav folk 71 romantic calm
Sagar Andhakar,Hari Thapa,Lok Dohori,106,"Romantic,Calm",harithapa lok dohori 106 romantic calm
Timro Bato,Ramesh Limbu,Modern,105,"Happy,Calm",rameshlimbu modern 105 happy calm
Himal Raat,Shanti Gurung,Pop,100,"Devotional,Calm",shantigurung pop 100 devotional calm
Andhakar Biraha,Hari Yadav,Pop,95,"Calm,Romantic",hariyadav pop 95 calm romantic
Rimjhim Katha,Hari Yadav,Rock,72,"Romantic,Calm",hariyadav rock 72 romantic calm
Rimjhim Sapana,Tribal Rain,Folk,92,"Energetic,Romantic",tribalrain folk 92 energetic romantic
Andhakar Lahara,Shanti Chhetri,Folk,93,"Happy,Calm",shantichhetri folk 93 happy calm
Raatko Din,Hemanta Rana,Folk,84,"Sad,Melancholic",hemantarana folk 84 sad melancholic
Rimjhim Tara,Hari Rai,Newari,97,"Calm,Romantic",harirai newari 97 calm romantic
Sundar Dhoon,The Shadows Nepal,Folk,108,"Energetic,Happy",theshadowsnepal folk 108 energetic happy
Eklo Sparsha,Radha Sherpa,Rock,138,"Romantic,Energetic",radhasherpa rock 138 romantic energetic
Ujyaalo Saath,Tribal Rain,Folk,103,"Energetic,Happy",tribalrain folk 103 energetic happy
